1,2,0,19,18,0
1,2,0,20,16,0
1,1,0,4,3,0
1,2,0,45,39,0
1,2,0,40,41,0
1,0,0,6,6,0
1,2,0,30,23,0
1,2,0,45,45,0
0,2,0,21,20,0
1,2,0,18,18,1
1,0,0,12,8,0
1,1,0,7,2,0
1,1,0,1,1,0
1,1,0,2,0,0
1,2,0,20,18,0
0,2,0,12,3,0
1,2,0,19,20,0
1,2,1,38,34,0
1,2,1,37,23,0
1,2,1,39,36,1
1,2,1,31,26,0
1,2,1,36,31,0
1,2,1,34,30,0
1,2,1,24,19,0
1,0,1,13,8,1
1,2,1,21,8,0
1,2,1,35,23,0
1,1,0,5,3,0
0,1,0,11,0,0
1,2,0,12,8,0
1,2,0,20,4,0
1,1,0,7,2,0
1,2,0,13,9,0
1,1,0,4,2,0
0,1,0,4,2,1
1,1,0,5,0,1
1,2,0,22,21,0
1,1,0,7,4,0
1,2,0,41,31,0
1,0,0,9,9,0
1,2,0,23,2,0
0,0,0,23,23,0
1,2,0,40,27,0
1,2,0,38,38,0
1,2,0,19,19,0
1,2,0,25,15,0
1,2,0,40,28,0
1,2,0,23,19,1
0,2,0,25,25,1
0,1,0,1,1,0
1,2,0,28,28,0
1,2,0,12,11,0
1,1,0,11,3,1
1,2,0,16,9,0
1,0,0,12,11,0
0,0,0,14,5,0
1,2,0,23,21,0
0,0,0,9,8,0
1,0,0,10,9,0
1,1,0,8,3,0
1,0,0,9,8,0
1,1,0,3,2,0
1,2,0,33,31,0
0,0,0,11,11,1
1,1,0,4,3,0
1,0,0,9,8,0
1,2,0,22,12,0
1,2,0,35,31,0
1,2,0,17,17,1
1,2,0,28,36,0
1,2,0,17,2,0
1,2,0,45,45,0
1,2,0,29,19,0
0,2,0,35,34,0
1,2,0,28,23,0
1,1,0,8,3,0
1,2,0,17,3,0
1,2,0,26,19,0
0,1,0,3,1,0
1,1,0,6,2,0
